iter	PairLogit
0	0.6347859455
1	0.5874839098
2	0.5639021323
3	0.530449421
4	0.5033530734
5	0.483918174
6	0.4679959606
7	0.4628517309
8	0.4445500972
9	0.4350123313
10	0.4288305467
11	0.41511346
12	0.4065962459
13	0.3991044285
14	0.3936281946
15	0.387717987
16	0.3843452968
17	0.3804998565
18	0.3768349734
19	0.3728579544
20	0.3681245354
21	0.3616059582
22	0.3559151541
23	0.35140166
24	0.3484543431
25	0.3453345281
26	0.3398310191
27	0.3376397425
28	0.3337424937
29	0.3320364386
30	0.3282687445
31	0.322824809
32	0.31858167
33	0.3140410865
34	0.3102376967
35	0.3050026134
36	0.3012846943
37	0.296920312
38	0.2925872939
39	0.289195271
40	0.2860981003
41	0.2831801835
42	0.2803591485
43	0.2777270794
44	0.2746578675
45	0.2716066697
46	0.2690412188
47	0.2670677911
48	0.2646483194
49	0.261638807
50	0.2593309752
51	0.2574977083
52	0.2557735339
53	0.2533982167
54	0.2515422096
55	0.2494575879
56	0.2477827571
57	0.2461602038
58	0.2450556099
59	0.2432050266
60	0.2417173093
61	0.2401933765
62	0.2386712841
63	0.2372145157
64	0.2361755041
65	0.2345575749
66	0.2334111578
67	0.2324690549
68	0.2310947865
69	0.229693934
70	0.2279607804
71	0.2265864322
72	0.2249092437
73	0.2234222427
74	0.2224615567
75	0.2211822346
76	0.2202145646
77	0.2187890868
78	0.217825677
79	0.2169924131
80	0.2158058193
81	0.214703225
82	0.2134363921
83	0.212037149
84	0.2111783047
85	0.2104449769
86	0.2094116291
87	0.2088136451
88	0.2078302968
89	0.2069356027
90	0.2059462339
91	0.2049778794
92	0.2041725045
93	0.2030923868
94	0.2023485612
95	0.2015601666
96	0.2010270689
97	0.2003979629
98	0.1994166163
99	0.198503382
